supplier_id,invoice_amount,days_to_pay
1507,486.52,50.0
1673,473.48,36.0
1020,573.7,46.0
1805,590.9,54.0
1074,436.34,28.0
1992,430.9,34.0
1718,466.99,39.0
1459,223.77,55.0
1983,318.18,33.0
1177,664.02,34.0
1381,697.4,45.0
1036,470.12,34.0
1970,569.19,42.0
1119,537.35,24.0
1914,869.47,62.0
1629,634.35,27.0
1000,484.65,37.0
1720,385.34,40.0
1935,307.23,59.0
1310,524.42,27.0
1207,409.24,60.0
1153,329.33,48.0
1761,422.41,44.0
1682,370.21,30.0
1314,702.46,46.0
1306,605.8,33.0
1503,499.04,53.0
1618,677.59,30.0
1654,509.28,39.0
1519,396.65,34.0
1605,682.77,30.0
1909,564.67,47.0
1096,375.53,45.0
1489,477.16,52.0
1006,394.93,22.0
1785,334.06,51.0
1011,611.14,65.0
1513,729.13,35.0
1945,332.17,59.0
1348,567.56,37.0
1916,421.92,26.0
1006,441.54,37.0
1499,428.91,50.0
1474,396.32,32.0
1523,505.82,34.0
1851,400.29,46.0
1056,532.45,40.0
1589,493.97,46.0
1585,471.33,42.0
1232,391.09,45.0
1790,430.79,36.0
1029,590.65,42.0
1366,560.11,31.0
1825,382.69,53.0
1606,511.92,34.0
1819,590.17,51.0
1055,299.67,38.0
1009,565.2,42.0
1914,420.49,35.0
1146,568.47,30.0
1363,408.41,23.0
1598,283.41,29.0
1252,304.69,37.0
1698,505.77,42.0
1939,531.17,50.0
1744,391.48,36.0
1252,576.63,31.0
1442,300.62,26.0
1735,492.07,45.0
1339,354.68,54.0
1515,421.78,53.0
1352,505.69,47.0
1623,396.75,46.0
1704,453.85,57.0
1652,620.76,43.0
1322,430.77,46.0
1139,600.28,37.0
1860,364.44,26.0
1950,563.58,33.0
1444,672.99,40.0
1094,203.4,41.0
1552,404.37,59.0
1419,569.25,41.0
1513,475.63,52.0
1789,544.54,36.0
1149,427.52,37.0
1552,510.39,27.0
1350,481.32,33.0
1115,640.13,45.0
1631,530.53,40.0
1236,540.51,49.0
1269,450.57,42.0
1860,441.49,36.0
1290,448.09,61.0
1433,547.33,39.0
1008,449.48,52.0
1750,534.77,36.0
1629,749.05,47.0
1863,604.53,49.0
1826,460.88,42.0
1823,644.15,16.0
1474,451.03,40.0
1521,255.43,52.0
1536,379.03,45.0
1684,275.5,44.0
1736,457.82,23.0
1010,502.21,33.0
1612,701.17,44.0
1776,539.23,44.0
1902,473.71,52.0
1326,599.53,39.0
1929,234.66,44.0
1594,528.27,40.0
1275,592.5,30.0
1369,322.57,17.0
1489,637.25,44.0
1344,540.62,42.0
1772,450.17,34.0
1367,575.93,24.0
1732,772.48,46.0
1310,521.82,37.0
1730,529.79,46.0
1600,444.88,59.0
1484,398.02,19.0
1014,599.64,33.0
1757,397.27,38.0
1687,508.59,55.0
1003,442.68,24.0
1845,557.48,59.0
1375,540.04,41.0
1368,624.5,39.0
1464,438.8,38.0
1532,467.62,36.0
1719,382.55,50.0
1985,446.68,29.0
1136,545.28,43.0
1833,590.84,36.0
1362,389.34,32.0
1974,604.35,66.0
1930,662.68,44.0
1215,549.61,46.0
1367,725.22,51.0
1116,407.15,26.0
1178,350.64,58.0
1245,286.55,15.0
1127,679.53,32.0
1357,578.52,35.0
1077,493.33,46.0
1740,533.6,42.0
1292,364.94,38.0
1773,793.49,40.0
1081,515.51,30.0
1341,513.13,25.0
1337,587.09,47.0
1818,557.72,47.0
1577,526.87,56.0
1095,405.14,32.0
1144,556.58,47.0
1576,725.84,37.0
1520,661.45,52.0
1396,691.18,50.0
1995,438.65,42.0
1356,381.25,37.0
1185,484.91,50.0
1669,506.69,46.0
1542,631.3,33.0
1150,296.9,27.0
1318,683.55,37.0
1753,481.04,55.0
1667,448.77,51.0
1058,378.55,29.0
1009,301.42,28.0
1856,598.78,53.0
1123,508.8,29.0
1355,345.2,45.0
1345,344.59,34.0
1793,459.71,56.0
1236,700.28,32.0
1332,468.85,51.0
1016,319.62,42.0
1423,470.51,43.0
1323,467.27,20.0
1022,176.37,18.0
1930,493.48,38.0
1458,472.29,42.0
1459,583.54,29.0
1520,721.87,29.0
1718,635.19,46.0
1556,467.73,46.0
1420,367.22,39.0
1964,808.8,48.0
1402,507.11,28.0
1330,501.67,36.0
1456,497.1,56.0
1482,523.77,41.0
1497,482.68,41.0
1026,431.16,63.0
1396,434.38,26.0
1952,496.07,48.0
1187,434.79,57.0
1139,414.46,37.0
1520,512.77,49.0
1745,469.4,30.0
1091,680.48,33.0
1076,181.88,44.0
1851,630.98,48.0
1243,649.53,51.0
1844,251.19,56.0
1666,458.88,39.0
1729,455.43,52.0
1958,331.1,37.0
1988,406.66,49.0
1796,366.73,42.0
1661,710.27,44.0
1840,612.28,44.0
1087,652.59,24.0
1617,586.6,29.0
1914,364.51,41.0
1293,437.06,23.0
1094,558.72,48.0
1252,353.34,49.0
1550,585.56,43.0
1398,471.16,29.0
1766,455.02,54.0
1053,585.32,60.0
1927,553.31,41.0
1242,456.68,45.0
1109,639.12,42.0
1765,370.27,45.0
1623,573.91,39.0
1685,571.17,40.0
1700,462.85,49.0
1220,539.14,63.0
1760,349.87,26.0
1563,610.88,39.0
1161,477.81,28.0
1968,437.27,56.0
1034,625.88,34.0
1965,415.48,26.0
1036,330.98,46.0
1845,313.2,57.0
1828,572.72,47.0
1622,346.35,42.0
1369,710.58,44.0
1176,250.17,54.0
1520,703.57,31.0
1274,525.32,39.0
1982,488.39,35.0
1632,434.61,28.0
1104,547.9,37.0
1155,495.48,51.0
1335,632.4,46.0
1025,513.71,46.0
1933,518.04,41.0
1295,456.37,45.0
1536,493.17,32.0
1354,536.94,37.0
1885,294.78,42.0
1068,338.22,43.0
1326,589.19,43.0
1150,520.5,39.0
1856,477.92,36.0
1576,502.21,72.0
1661,541.71,49.0
1319,435.23,44.0
1756,406.6,38.0
1451,523.5,35.0
1569,382.6,39.0
1667,548.99,43.0
1111,295.69,21.0
1634,623.5,24.0
1461,556.71,34.0
1864,530.72,42.0
1963,617.92,38.0
1361,699.86,55.0
1202,621.72,25.0
1486,279.1,32.0
1479,346.45,55.0
1003,425.02,41.0
1128,503.13,49.0
1025,562.12,61.0
1800,412.91,33.0
1976,522.41,39.0
1026,409.35,37.0
1041,426.62,20.0
1964,331.2,37.0
1582,389.21,49.0
1063,337.8,45.0
1024,382.9,46.0
1071,626.44,36.0
1481,386.07,33.0
1872,815.89,53.0
1899,559.2,35.0
1267,522.18,43.0
1825,397.0,42.0
1094,584.04,55.0
1394,430.92,50.0
1868,514.64,27.0
1363,807.21,28.0
1314,488.47,46.0
1116,637.91,39.0
1163,415.62,35.0
1876,495.8,50.0
1789,712.5,42.0
1576,424.76,41.0
1305,717.49,48.0
1771,584.93,36.0
1739,432.5,56.0
1199,575.89,32.0
1984,616.71,47.0
1731,574.62,54.0
1179,311.57,26.0
1357,412.74,37.0
1739,470.3,51.0
1995,491.07,52.0
1251,574.48,38.0
1298,521.32,33.0
1872,339.76,50.0
1429,545.62,52.0
1003,573.27,28.0
1652,567.17,28.0
1677,629.69,42.0
1253,600.07,46.0
1940,555.1,37.0
1664,491.58,47.0
1578,300.68,33.0
1566,551.55,19.0
1095,524.92,36.0
1166,532.59,41.0
1832,346.79,37.0
1330,370.27,28.0
1897,626.38,22.0
1964,495.25,35.0
1887,581.78,49.0
1853,503.4,53.0
1061,503.57,52.0
1173,612.59,32.0
1252,438.07,28.0
1460,511.53,45.0
1623,444.53,46.0
1214,447.86,44.0
1238,462.9,20.0
1414,526.66,31.0
1738,442.55,40.0
1741,650.69,45.0
1744,392.65,48.0
1674,477.58,41.0
1125,447.23,43.0
1940,673.64,41.0
1252,523.59,47.0
1844,623.82,43.0
1949,321.73,41.0
1710,532.05,37.0
1196,606.76,41.0
1633,509.87,45.0
1412,627.86,43.0
1455,437.93,44.0
1775,669.12,53.0
1053,775.87,43.0
1646,456.46,34.0
1338,446.54,49.0
1358,674.41,26.0
1150,689.55,29.0
1099,437.26,43.0
1233,449.58,45.0
1543,466.19,28.0
1061,338.67,36.0
1940,389.76,34.0
1195,379.5,35.0
1541,407.86,49.0
1754,495.84,47.0
1105,528.11,40.0
1294,686.06,35.0
1644,380.2,27.0
1450,618.12,54.0
1533,474.32,46.0
1155,494.06,33.0
1405,580.98,47.0
1895,365.27,39.0
1725,545.89,37.0
1737,519.97,44.0
1796,559.09,33.0
1682,534.7,37.0
1553,794.64,41.0
1571,423.47,35.0
1374,436.28,47.0
1588,425.22,59.0
1454,433.34,32.0
1201,423.51,23.0
1731,642.68,20.0
1451,670.46,38.0
1186,431.51,33.0
1607,400.12,42.0
1853,556.57,41.0
1723,433.73,24.0
1367,575.95,22.0
1339,524.35,43.0
1261,318.11,41.0
1840,685.7,36.0
1923,715.51,23.0
1588,426.47,45.0
1542,453.48,53.0
1550,534.3,43.0
1305,540.13,32.0
1845,579.03,40.0
1725,741.22,26.0
1637,478.77,51.0
1164,404.2,41.0
1757,334.48,22.0
1620,412.29,37.0
1087,496.02,45.0
1199,715.35,37.0
1270,437.89,37.0
1050,526.85,28.0
1488,498.03,46.0
1197,642.61,34.0
1022,803.23,18.0
1664,436.3,36.0
1222,441.27,50.0
1941,625.3,36.0
1220,581.83,57.0
1662,721.6,44.0
1265,570.07,43.0
1072,456.88,39.0
1880,570.88,39.0
1076,633.04,37.0
1543,598.46,37.0
1880,560.87,45.0
1434,628.0,31.0
1936,640.32,29.0
1064,665.86,29.0
1960,577.85,60.0
1356,479.95,45.0
1935,517.61,43.0
1017,644.78,29.0
1675,401.97,46.0
1798,544.24,39.0
1565,452.8,42.0
1574,503.45,30.0
1768,653.41,42.0
1750,522.93,36.0
1435,505.57,32.0
1995,336.82,47.0
1440,589.55,25.0
1008,577.46,46.0
1469,759.59,47.0
1631,463.07,31.0
1347,526.3,32.0
1601,529.93,38.0
1371,689.29,43.0
1969,488.56,38.0
1823,533.48,44.0
1174,572.95,58.0
1514,522.39,35.0
1129,446.43,23.0
1565,523.29,48.0
1292,628.84,57.0
1695,376.82,44.0
1926,515.96,29.0
1352,415.99,39.0
1223,643.41,29.0
1523,317.22,46.0
1953,432.93,26.0
1706,545.27,37.0
1758,687.86,30.0
1508,492.11,41.0
1367,433.38,36.0
1665,725.74,42.0
1589,326.24,40.0
1651,236.14,30.0
1499,552.8,46.0
1089,439.75,40.0
1655,377.45,30.0
1948,585.0,62.0
1071,529.26,45.0
1432,432.31,38.0
1688,346.36,54.0
1347,604.69,58.0
1262,578.02,39.0
1270,488.1,43.0
1508,721.6,30.0
1507,371.59,39.0
1616,316.94,38.0
1419,416.97,42.0
1071,494.53,43.0
1073,529.2,46.0
1654,471.05,42.0
1502,542.25,28.0
1573,349.82,31.0
1145,673.25,35.0
1045,490.14,37.0
1740,634.08,51.0
1104,541.13,28.0
1108,554.81,36.0
1316,568.37,50.0
1120,553.73,37.0
1498,577.13,45.0
1042,659.5,39.0
1939,523.58,43.0
1098,585.08,38.0
1705,489.23,47.0
1310,672.81,25.0
1213,418.83,36.0
1462,716.11,43.0
1740,495.18,45.0
1422,328.31,55.0
1995,515.37,36.0
1388,418.27,55.0
1696,600.88,33.0
1111,421.69,53.0
1910,446.46,48.0
1858,273.26,31.0
1271,445.72,43.0
1824,209.13,39.0
1995,309.93,46.0
1101,591.25,38.0
1209,594.3,37.0
1738,551.05,54.0
1792,383.96,39.0
1021,494.27,48.0
1759,499.57,38.0
1158,361.0,57.0
1890,680.41,33.0
1740,605.28,34.0
1929,473.48,55.0
1342,503.23,36.0
1399,525.01,56.0
1453,254.99,49.0
1698,470.34,38.0
1142,418.16,22.0
1849,379.81,40.0
1869,466.27,41.0
1396,715.72,52.0
1535,576.9,56.0
1140,431.46,33.0
1960,568.71,48.0
1239,667.92,48.0
1291,610.96,51.0
1816,507.16,45.0
1081,422.37,21.0
1559,583.79,38.0
1864,547.22,28.0
1869,607.42,38.0
1170,576.22,50.0
1773,625.95,43.0
1976,435.77,51.0
1579,658.09,43.0
1525,523.71,27.0
1541,749.03,15.0
1109,417.3,41.0
1211,708.32,38.0
1775,523.75,30.0
1437,421.83,23.0
1321,441.93,33.0
1996,461.56,38.0
1899,550.9,47.0
1713,562.74,42.0
1083,431.16,56.0
1955,497.08,30.0
1375,757.07,49.0
1052,707.31,40.0
1866,552.36,47.0
1495,504.56,36.0
1255,514.4,51.0
1585,573.62,43.0
1219,377.26,33.0
1654,469.11,40.0
1099,299.77,38.0
1128,547.91,45.0
1917,577.66,28.0
1218,442.02,40.0
1476,688.88,44.0
1782,352.91,40.0
1457,324.28,53.0
1979,526.93,48.0
1021,625.65,40.0
1689,702.07,42.0
1559,444.93,43.0
1628,629.44,44.0
1328,495.38,22.0
1887,479.28,37.0
1690,606.04,25.0
1479,578.28,53.0
1784,310.83,39.0
1873,677.18,38.0
1338,665.61,49.0
1871,424.93,44.0
1858,547.5,29.0
1178,559.28,39.0
1420,531.28,37.0
1481,433.96,23.0
1048,419.41,33.0
1826,496.93,38.0
1905,640.73,39.0
1766,565.23,25.0
1029,455.53,52.0
1084,592.6,39.0
1788,158.17,40.0
1501,637.85,44.0
1545,291.23,32.0
1328,456.51,45.0
1609,365.64,36.0
1433,344.64,31.0
1587,639.3,46.0
1686,443.88,55.0
1852,541.58,47.0
1248,494.37,49.0
1851,557.24,35.0
1133,509.22,24.0
1689,346.04,55.0
1364,619.55,61.0
1739,440.75,55.0
1574,313.21,37.0
1779,448.63,28.0
1424,680.09,29.0
1414,602.03,23.0
1769,458.16,39.0
1655,458.09,56.0
1511,461.4,39.0
1384,749.21,43.0
1387,545.83,54.0
1814,551.6,36.0
1448,623.63,60.0
1563,528.65,60.0
1302,468.91,39.0
1098,476.44,34.0
1972,491.41,47.0
1305,495.53,37.0
1556,587.32,28.0
1041,506.23,53.0
1990,587.92,52.0
1467,490.31,42.0
1439,509.44,27.0
1326,260.22,28.0
1568,609.96,41.0
1999,541.58,35.0
1032,619.76,37.0
1411,152.45,50.0
1625,750.6,47.0
1811,483.25,54.0
1113,632.98,30.0
1507,375.21,37.0
1055,573.53,48.0
1555,373.59,44.0
1723,425.15,55.0
1351,729.68,44.0
1328,477.12,58.0
1545,526.09,45.0
1269,604.41,51.0
1195,559.48,37.0
1412,518.05,40.0
1636,543.8,49.0
1078,788.41,56.0
1766,493.09,47.0
1656,524.13,39.0
1082,626.08,54.0
1741,632.66,18.0
1136,642.44,26.0
1538,576.65,47.0
1688,362.84,40.0
1718,696.01,46.0
1932,362.44,41.0
1923,536.32,46.0
1305,409.49,32.0
1310,492.3,46.0
1387,539.45,50.0
1724,538.56,52.0
1865,550.63,60.0
1914,693.65,42.0
1548,554.42,43.0
1505,470.7,25.0
1387,615.69,35.0
1292,642.74,38.0
1178,352.69,51.0
1671,571.69,34.0
1428,584.14,48.0
1879,464.29,40.0
1523,665.08,38.0
1680,481.99,42.0
1311,515.07,36.0
1079,479.23,36.0
1013,501.87,23.0
1053,368.45,38.0
1446,327.19,35.0
1765,691.34,35.0
1064,398.36,44.0
1371,381.03,47.0
1502,241.59,42.0
1569,423.32,50.0
1095,341.23,46.0
1532,697.04,37.0
1259,621.18,35.0
1584,417.42,43.0
1247,770.29,46.0
1126,617.81,54.0
1498,461.02,52.0
1045,200.07,35.0
1981,774.91,39.0
1267,333.25,47.0
1639,302.55,51.0
1541,622.71,49.0
1093,792.77,39.0
1735,666.11,27.0
1315,567.67,30.0
1611,571.37,43.0
1070,602.41,43.0
1592,591.07,29.0
1448,533.74,40.0
1909,512.5,46.0
1366,492.49,28.0
1811,409.52,51.0
1619,466.32,36.0
1613,296.85,53.0
1409,488.2,35.0
1090,381.37,30.0
1508,367.57,35.0
1876,521.59,39.0
1527,667.04,36.0
1109,610.2,38.0
1774,311.54,43.0
1671,381.24,38.0
1764,612.89,39.0
1088,382.1,23.0
1606,473.04,44.0
1271,566.01,39.0
1246,383.8,56.0
1360,512.65,31.0
1377,339.92,22.0
1205,427.84,46.0
1344,538.37,43.0
1829,308.84,30.0
1797,552.86,25.0
1759,497.64,55.0
1454,566.3,54.0
1907,526.87,15.0
1066,663.7,35.0
1986,515.03,57.0
1557,448.47,35.0
1978,514.68,35.0
1042,565.2,37.0
1228,505.86,29.0
1950,504.87,23.0
1812,415.76,51.0
1443,420.45,22.0
1233,331.69,42.0
1198,709.95,49.0
1496,350.74,25.0
1847,416.85,31.0
1031,413.79,52.0
1263,607.39,45.0
1112,464.61,34.0
1972,649.73,52.0
1829,419.18,52.0
1458,533.48,43.0
1275,399.76,31.0
1145,757.42,36.0
1356,357.49,43.0
1005,537.18,38.0
1339,576.05,49.0
1991,549.66,25.0
1493,477.77,25.0
1107,484.42,42.0
1924,505.26,35.0
1771,482.36,34.0
1070,615.67,22.0
1938,765.26,40.0
1339,433.1,39.0
1673,335.62,47.0
1099,489.41,41.0
1326,809.57,39.0
1032,403.56,52.0
1142,696.69,27.0
1243,701.32,45.0
1735,433.57,23.0
1725,568.28,32.0
1631,695.41,28.0
1679,454.5,48.0
1860,475.57,39.0
1216,430.2,40.0
1900,378.23,29.0
1973,422.09,37.0
1433,353.13,32.0
1866,504.09,44.0
1833,407.6,30.0
1728,528.05,53.0
1053,313.29,23.0
1719,539.71,32.0
1941,600.02,57.0
1591,260.75,36.0
1906,544.89,27.0
1891,647.32,42.0
1944,354.84,35.0
1994,700.71,32.0
1150,550.28,29.0
1054,415.4,68.0
1516,493.31,37.0
1447,567.0,21.0
1034,509.12,55.0
1860,564.65,46.0
1118,389.52,32.0
1196,520.32,31.0
1565,330.35,47.0
1770,486.65,38.0
1773,391.53,21.0
1854,411.74,58.0
