Annual Income,Loan Amount,Credit Score,Number of Loans,Employment Status,Employment Encoded,Missed Payments,Default
48118.59,10929.26,688,3,Employed,0,2,0
54381.87,11285.32,653,4,Unemployed,2,3,1
30156.59,11772.84,637,0,Self-Employed,1,1,0
29154.52,8616.17,684,2,Self-Employed,1,1,0
51263.3,15756.86,583,2,Unemployed,2,1,0
48563.82,14969.72,601,2,Unemployed,2,2,1
48005.91,13817.08,613,3,Self-Employed,1,1,0
49157.38,12970.3,627,1,Employed,0,4,0
36839.7,7927.21,580,0,Employed,0,0,0
47787.04,14016.77,698,3,Self-Employed,1,1,0
48516.87,12516.41,589,1,Employed,0,0,0
36427.78,20009.08,515,3,Employed,0,1,1
67389.29,6826.84,699,2,Self-Employed,1,5,0
50686.0,9106.82,675,3,Employed,0,0,0
30704.36,5653.42,646,3,Unemployed,2,1,0
52878.64,11127.92,673,0,Employed,0,1,0
33303.82,5036.4,655,0,Self-Employed,1,2,0
54445.02,16742.01,708,0,Unemployed,2,1,0
58903.15,16368.95,611,3,Self-Employed,1,1,0
35151.81,11361.47,736,3,Unemployed,2,0,0
56560.51,7945.11,697,0,Employed,0,1,0
49953.37,5903.59,619,2,Employed,0,1,0
54864.72,9184.54,611,2,Employed,0,1,0
67761.52,14501.49,657,0,Employed,0,3,0
42055.34,8851.79,593,0,Employed,0,0,0
35955.17,19634.3,639,1,Unemployed,2,2,1
34325.83,17962.78,717,0,Employed,0,1,1
35210.28,12003.3,659,3,Self-Employed,1,1,0
44074.78,10152.53,754,0,Self-Employed,1,1,0
49093.82,9723.22,611,3,Self-Employed,1,0,0
48320.29,18393.51,672,1,Employed,0,1,0
54926.2,9373.22,623,2,Self-Employed,1,3,0
45156.02,15737.48,639,1,Self-Employed,1,0,0
62442.41,12087.17,675,0,Self-Employed,1,2,0
41824.12,14854.25,613,4,Employed,0,1,0
77642.03,8718.41,606,1,Unemployed,2,1,0
52508.01,10668.33,626,3,Self-Employed,1,1,0
34714.11,11903.27,623,4,Employed,0,3,0
32149.29,9474.53,599,0,Employed,0,1,0
50789.67,16996.9,722,4,Self-Employed,1,0,0
42318.45,8942.77,634,0,Unemployed,2,0,0
53568.01,9691.87,691,4,Employed,0,1,0
50678.85,17434.8,687,2,Unemployed,2,1,0
44126.05,16659.71,701,0,Self-Employed,1,0,0
34838.48,18351.92,583,3,Self-Employed,1,2,1
26821.83,4366.91,632,0,Employed,0,1,0
39641.82,12802.89,684,1,Employed,0,0,0
55276.79,12361.13,619,0,Self-Employed,1,0,0
47569.12,9753.07,724,2,Unemployed,2,0,0
30051.13,13297.84,588,2,Self-Employed,1,1,0
47078.17,10714.23,691,3,Employed,0,1,0
49623.81,12647.97,627,0,Employed,0,1,0
34393.71,25607.5,702,4,Unemployed,2,1,1
46844.7,13268.52,663,1,Self-Employed,1,2,0
45698.5,13436.53,607,2,Employed,0,1,0
31284.36,15284.88,690,2,Unemployed,2,2,1
49293.45,12722.58,563,0,Unemployed,2,2,1
51729.41,7607.87,632,2,Self-Employed,1,2,0
57996.61,5413.15,627,3,Employed,0,0,0
57645.62,11882.84,671,1,Unemployed,2,1,0
28467.97,10923.56,515,2,Employed,0,0,0
33746.1,4145.59,661,4,Employed,0,0,0
51180.42,18517.57,668,2,Employed,0,1,0
51165.43,12428.01,610,4,Unemployed,2,0,0
51180.57,17757.75,634,3,Unemployed,2,1,0
91232.78,3072.55,651,4,Employed,0,1,0
51850.69,17833.95,697,0,Unemployed,2,1,0
58626.79,10059.18,541,1,Unemployed,2,0,0
56448.02,17036.63,647,0,Self-Employed,1,0,0
52816.7,12859.47,673,2,Self-Employed,1,0,0
41216.77,13813.03,681,1,Employed,0,0,0
54107.63,13818.07,639,2,Unemployed,2,0,0
35726.1,10299.45,678,1,Employed,0,1,0
42158.18,9413.94,646,2,Unemployed,2,1,0
39175.64,10555.36,706,4,Unemployed,2,0,0
45982.49,6112.36,608,2,Self-Employed,1,1,0
72775.9,10077.16,616,2,Employed,0,0,0
22592.82,9212.83,673,4,Unemployed,2,2,1
53235.12,6016.38,682,3,Self-Employed,1,3,0
25647.41,13834.67,675,4,Self-Employed,1,0,0
39336.82,12030.87,628,3,Employed,0,2,0
58067.41,12984.17,629,3,Employed,0,1,0
45771.36,14789.8,649,3,Unemployed,2,1,0
32067.06,11048.56,594,2,Self-Employed,1,2,0
36416.36,8245.13,609,4,Unemployed,2,0,0
53155.17,13215.77,723,4,Self-Employed,1,2,0
36235.6,311.21,641,1,Unemployed,2,1,0
47597.5,11567.62,623,2,Unemployed,2,0,0
45546.86,15060.67,621,0,Employed,0,0,0
37180.8,16187.7,664,0,Self-Employed,1,4,1
70727.33,9882.23,755,2,Unemployed,2,1,0
52607.03,3034.45,707,4,Employed,0,0,0
20698.29,1466.94,584,2,Employed,0,1,0
47237.45,14552.21,714,0,Employed,0,4,0
37058.56,10584.07,608,3,Employed,0,1,0
55229.2,20069.2,617,3,Self-Employed,1,2,0
35489.75,6355.59,626,4,Employed,0,0,0
43623.16,13369.34,591,1,Employed,0,0,0
51059.85,18649.41,714,3,Self-Employed,1,4,0
55389.06,12825.85,621,3,Self-Employed,1,0,0
30596.44,5632.26,545,3,Employed,0,0,0
40985.99,23090.45,607,4,Employed,0,1,0
39300.66,18322.35,659,4,Unemployed,2,0,1
37160.05,11091.02,563,2,Unemployed,2,0,0
66185.45,15275.82,663,0,Employed,0,2,0
49859.78,15318.64,605,3,Unemployed,2,1,0
29869.39,14567.08,705,0,Self-Employed,1,1,0
56014.34,6473.02,672,1,Unemployed,2,0,0
70465.87,13296.63,654,3,Employed,0,3,0
57389.58,17842.86,572,3,Self-Employed,1,1,0
26767.56,14018.11,585,1,Employed,0,1,0
39189.19,13588.6,621,4,Self-Employed,1,1,0
60202.93,9852.7,638,2,Self-Employed,1,2,0
36507.97,8384.09,726,4,Unemployed,2,3,1
50325.83,5709.93,664,0,Self-Employed,1,0,0
54295.61,15029.86,630,1,Employed,0,1,0
33876.83,11116.46,723,3,Self-Employed,1,1,0
44285.7,6634.48,645,3,Employed,0,0,0
6104.79,15905.63,671,0,Employed,0,2,1
32707.35,9652.36,727,3,Employed,0,2,0
41969.18,8568.54,685,4,Self-Employed,1,1,0
30026.6,10015.01,672,1,Unemployed,2,1,0
64588.94,11227.64,679,4,Unemployed,2,1,0
27838.3,13832.09,646,4,Employed,0,1,0
39719.47,8498.75,652,2,Unemployed,2,1,0
46568.89,16041.5,570,1,Employed,0,1,0
62295.28,13936.92,614,2,Employed,0,0,0
27769.65,9941.35,647,2,Self-Employed,1,1,0
58957.97,11360.84,673,3,Unemployed,2,1,0
45122.8,10309.48,628,0,Employed,0,1,0
33221.9,12263.46,769,2,Self-Employed,1,0,0
50545.24,18079.5,689,3,Self-Employed,1,0,0
47388.72,10268.25,662,3,Self-Employed,1,2,0
37797.4,12757.86,577,1,Self-Employed,1,1,0
45837.63,9205.67,647,2,Unemployed,2,2,1
40376.24,14127.82,675,4,Unemployed,2,0,0
46362.21,13105.63,645,0,Unemployed,2,0,0
52945.57,17318.47,643,4,Self-Employed,1,0,0
64032.2,8683.24,642,2,Unemployed,2,0,0
30146.21,14762.3,614,4,Unemployed,2,1,0
70596.4,17056.33,587,2,Unemployed,2,1,0
21574.95,10249.53,759,4,Employed,0,0,0
43178.58,11492.19,599,2,Unemployed,2,0,0
52059.81,12762.95,626,1,Employed,0,1,0
48371.9,11053.69,662,3,Unemployed,2,0,0
37527.61,12709.28,547,3,Unemployed,2,0,0
42502.53,14693.74,727,1,Employed,0,0,0
39083.99,11544.1,708,3,Employed,0,3,0
37927.62,11512.8,574,2,Unemployed,2,0,0
55195.23,13066.65,633,4,Unemployed,2,1,0
49284.19,10403.33,697,0,Unemployed,2,1,0
36685.08,10601.15,648,0,Unemployed,2,0,0
55795.2,8404.56,699,1,Employed,0,1,0
48687.59,11831.43,726,3,Self-Employed,1,0,0
54754.35,13791.0,608,4,Unemployed,2,0,0
52555.55,10923.45,673,0,Employed,0,0,0
35052.06,8905.96,589,4,Unemployed,2,0,0
38277.83,11615.13,626,0,Self-Employed,1,1,0
53967.52,13588.35,653,4,Self-Employed,1,1,0
52324.44,12511.88,657,3,Unemployed,2,2,1
44749.18,20918.2,607,2,Self-Employed,1,2,0
46407.93,9374.34,679,2,Employed,0,0,0
60331.98,11398.73,576,4,Unemployed,2,0,0
37901.14,15117.19,605,3,Unemployed,2,2,1
51565.17,9221.28,703,2,Self-Employed,1,2,0
42573.69,19712.88,610,2,Self-Employed,1,1,0
42387.83,12018.46,663,2,Unemployed,2,0,0
58185.32,14244.58,731,4,Unemployed,2,2,1
54905.0,12076.05,649,0,Unemployed,2,1,0
54762.12,16074.55,717,0,Self-Employed,1,1,0
60665.75,7748.62,582,1,Self-Employed,1,1,0
45252.05,18287.39,620,1,Employed,0,0,0
53183.44,12926.88,661,3,Self-Employed,1,2,0
41276.8,14633.84,598,0,Self-Employed,1,1,0
48890.0,9046.5,626,2,Employed,0,1,0
43438.28,13348.97,657,4,Self-Employed,1,0,0
46163.95,8128.04,658,0,Unemployed,2,1,0
52141.88,16702.58,634,2,Employed,0,0,0
35181.35,6840.77,558,0,Self-Employed,1,0,0
70108.65,12616.69,617,0,Employed,0,1,0
32927.79,10446.3,579,3,Self-Employed,1,3,1
30429.74,5749.49,646,2,Employed,0,2,0
58897.33,8258.57,647,0,Self-Employed,1,0,0
54499.95,13798.37,643,0,Unemployed,2,0,0
52489.44,8413.77,602,0,Unemployed,2,0,0
52540.15,9323.32,566,4,Unemployed,2,3,1
44853.04,13493.38,721,3,Unemployed,2,1,0
34232.95,15659.37,650,4,Self-Employed,1,2,1
45909.65,14643.11,634,0,Employed,0,0,0
36874.06,11813.69,646,4,Unemployed,2,4,1
56701.44,12870.56,582,0,Self-Employed,1,2,0
43235.31,12474.98,714,4,Employed,0,0,0
35094.03,7854.58,614,4,Employed,0,2,0
41143.37,13117.76,644,3,Employed,0,0,0
49955.18,7818.96,674,2,Self-Employed,1,0,0
38235.31,14457.1,685,4,Employed,0,1,0
35133.36,12540.54,648,3,Self-Employed,1,0,0
47924.25,3343.2,598,0,Employed,0,1,0
47939.6,15916.47,679,1,Unemployed,2,1,0
38916.68,9911.87,692,2,Employed,0,2,0
39347.54,9580.78,708,0,Unemployed,2,2,1
47784.6,15823.61,677,2,Self-Employed,1,1,0
27622.99,11346.95,754,1,Self-Employed,1,1,0
28110.43,14389.65,657,2,Employed,0,0,0
36378.67,9386.58,659,0,Unemployed,2,1,0
42438.63,15214.68,711,0,Self-Employed,1,3,0
48730.89,12788.8,730,3,Unemployed,2,1,0
62704.27,13619.67,719,2,Unemployed,2,1,0
55291.92,11285.91,645,1,Employed,0,0,0
43080.74,18519.08,688,0,Employed,0,2,0
44771.81,19481.77,703,4,Unemployed,2,1,0
32969.65,3185.13,653,4,Employed,0,2,0
44777.84,15705.42,607,0,Employed,0,0,0
41536.1,7681.04,599,0,Self-Employed,1,0,0
48872.62,14038.71,668,4,Unemployed,2,0,0
35073.23,4889.3,693,1,Self-Employed,1,2,0
51232.16,13612.95,627,4,Self-Employed,1,2,0
63392.87,8655.05,611,2,Unemployed,2,1,0
43694.88,10164.72,624,3,Unemployed,2,2,1
49820.54,10271.62,657,3,Self-Employed,1,1,0
53281.73,9061.8,688,0,Unemployed,2,1,0
40185.35,9170.37,668,4,Employed,0,0,0
47689.11,10407.94,650,0,Employed,0,0,0
45151.11,11384.28,719,4,Self-Employed,1,3,0
46172.11,13292.53,786,2,Self-Employed,1,1,0
35723.88,19442.84,650,1,Unemployed,2,3,1
45294.12,8212.5,730,2,Self-Employed,1,0,0
50975.98,12506.83,615,3,Employed,0,0,0
62413.72,15090.61,707,4,Unemployed,2,2,1
56511.25,9164.43,608,2,Self-Employed,1,1,0
70838.19,2970.92,632,4,Unemployed,2,2,1
35791.83,4362.89,647,4,Employed,0,1,0
55467.85,3118.04,553,1,Unemployed,2,0,0
47200.1,18160.47,558,4,Unemployed,2,0,0
71277.64,14456.62,607,0,Employed,0,1,0
35300.42,15023.9,716,3,Unemployed,2,2,1
34923.34,15925.63,638,4,Self-Employed,1,1,1
37807.29,9698.12,695,3,Self-Employed,1,0,0
19513.25,21212.18,567,0,Self-Employed,1,0,1
38690.94,13341.87,667,1,Employed,0,1,0
35890.41,11708.91,671,4,Employed,0,2,0
46804.73,16440.01,602,1,Self-Employed,1,1,0
49101.07,14669.2,743,3,Self-Employed,1,1,0
67514.05,17340.18,587,4,Self-Employed,1,6,1
56405.09,17575.33,637,2,Unemployed,2,0,0
38077.16,10587.01,772,0,Self-Employed,1,0,0
34219.02,12748.1,602,2,Unemployed,2,2,1
50903.03,8363.22,618,1,Self-Employed,1,4,0
29157.2,5486.87,657,0,Unemployed,2,1,0
66977.51,15347.19,583,1,Employed,0,1,0
59153.28,15828.14,675,0,Unemployed,2,0,0
39369.89,4071.04,560,2,Self-Employed,1,0,0
24442.39,9131.17,650,2,Unemployed,2,0,0
61246.47,12224.33,722,4,Employed,0,1,0
43625.52,12605.55,682,1,Employed,0,0,0
59853.8,20180.0,647,4,Self-Employed,1,1,0
25866.87,9492.25,633,2,Unemployed,2,1,0
37807.5,11314.77,645,0,Unemployed,2,0,0
45062.92,14599.43,635,0,Employed,0,2,0
45563.77,10599.19,669,0,Unemployed,2,0,0
39599.21,9980.1,682,1,Employed,0,0,0
52474.2,9651.76,657,4,Employed,0,0,0
32188.55,12931.92,685,3,Employed,0,2,0
43291.45,11297.24,675,2,Unemployed,2,0,0
46443.55,14729.92,587,0,Self-Employed,1,1,0
51173.27,13429.83,533,3,Unemployed,2,0,0
53539.38,338.44,658,0,Employed,0,1,0
31504.29,4993.89,627,3,Self-Employed,1,0,0
26590.63,9996.95,660,3,Unemployed,2,1,0
60332.12,15920.01,733,2,Employed,0,1,0
48987.77,9393.29,636,3,Unemployed,2,2,1
36018.16,13498.36,665,1,Self-Employed,1,0,0
63613.82,14393.98,607,0,Employed,0,1,0
46388.1,14161.07,674,2,Self-Employed,1,2,0
59151.57,9810.3,610,1,Employed,0,0,0
45810.22,7407.65,700,3,Employed,0,1,0
69728.98,6751.1,656,2,Unemployed,2,1,0
66064.09,23883.74,642,1,Unemployed,2,0,0
42012.43,13821.71,568,2,Unemployed,2,0,0
56658.85,19362.33,581,4,Self-Employed,1,2,0
52744.51,8667.56,679,2,Unemployed,2,0,0
61423.58,16993.27,708,1,Self-Employed,1,0,0
33420.92,10092.76,662,0,Employed,0,1,0
53232.62,11884.21,638,3,Unemployed,2,1,0
57701.09,10854.54,652,0,Employed,0,1,0
23895.13,8482.26,642,1,Unemployed,2,1,0
30800.9,8543.06,614,4,Unemployed,2,1,0
20529.21,11843.57,582,4,Self-Employed,1,0,0
41767.12,9651.68,582,4,Self-Employed,1,1,0
53610.51,12506.88,615,0,Employed,0,0,0
63028.28,8648.68,654,2,Employed,0,2,0
45889.14,14829.84,583,2,Self-Employed,1,1,0
64543.39,10160.15,646,2,Unemployed,2,0,0
28438.78,18547.74,612,2,Unemployed,2,2,1
24559.41,11797.5,566,4,Employed,0,1,0
44333.43,11591.27,617,2,Unemployed,2,1,0
49608.79,18414.14,661,3,Employed,0,0,0
44607.66,10018.88,618,4,Self-Employed,1,3,0
20190.69,10372.38,723,0,Self-Employed,1,1,0
43930.56,9196.1,681,0,Employed,0,0,0
29346.37,12817.73,702,1,Unemployed,2,1,0
53036.07,9059.28,805,1,Unemployed,2,3,1
49399.18,15106.66,621,3,Employed,0,0,0
33721.44,11813.69,578,0,Unemployed,2,0,0
38833.6,15355.56,610,0,Self-Employed,1,0,1
32289.44,14904.74,653,3,Unemployed,2,0,0
44247.85,9950.07,669,3,Self-Employed,1,1,0
56461.71,9052.11,659,3,Employed,0,2,0
33171.29,10686.56,627,0,Unemployed,2,2,1
51048.56,12035.47,670,3,Unemployed,2,1,0
38636.91,13336.09,707,4,Self-Employed,1,0,0
35485.53,13780.53,612,3,Unemployed,2,0,0
43715.64,11872.29,603,2,Self-Employed,1,0,0
32577.09,9275.28,748,1,Self-Employed,1,3,0
38356.21,9653.5,593,0,Self-Employed,1,2,0
30625.47,14073.41,692,0,Employed,0,0,0
68576.7,9399.27,640,4,Employed,0,1,0
45423.16,14240.94,724,3,Unemployed,2,0,0
36603.29,14371.84,635,1,Unemployed,2,2,1
47567.76,18135.67,669,2,Employed,0,0,0
43652.06,10076.58,584,0,Employed,0,2,0
42348.36,10699.38,616,0,Unemployed,2,1,0
52370.0,2749.21,662,3,Unemployed,2,1,0
54090.09,8227.71,616,2,Employed,0,1,0
38633.99,8175.48,585,2,Self-Employed,1,0,0
38090.18,14022.69,756,3,Unemployed,2,0,0
41699.38,19229.52,648,0,Employed,0,3,0
17376.95,14323.03,707,2,Unemployed,2,1,0
26817.71,15963.17,745,3,Employed,0,1,1
61402.49,9154.68,623,1,Self-Employed,1,1,0
64739.61,7208.1,645,2,Unemployed,2,2,1
42011.57,11031.91,653,0,Employed,0,1,0
51918.68,9504.98,673,2,Employed,0,1,0
48735.0,8555.64,705,1,Self-Employed,1,1,0
81946.57,12873.04,698,3,Self-Employed,1,2,0
58434.9,7256.32,685,2,Self-Employed,1,0,0
43464.99,15305.92,633,1,Unemployed,2,4,1
33533.51,10402.24,649,1,Employed,0,2,0
25722.64,11819.05,587,1,Self-Employed,1,0,0
47441.56,12399.15,685,2,Unemployed,2,0,0
35923.79,10133.14,765,4,Unemployed,2,0,0
27932.96,17062.2,663,3,Employed,0,1,1
37241.13,5576.88,719,1,Self-Employed,1,1,0
32021.42,17133.34,691,3,Employed,0,0,1
65245.7,10611.78,622,1,Employed,0,1,0
55579.68,15682.99,605,0,Self-Employed,1,1,0
44904.33,12804.96,593,0,Unemployed,2,2,1
62759.33,15401.99,656,0,Self-Employed,1,0,0
45928.42,11526.35,677,3,Unemployed,2,0,0
34664.59,12953.74,680,1,Employed,0,0,0
63277.49,16391.62,593,0,Unemployed,2,0,0
51466.92,12383.4,711,3,Self-Employed,1,2,0
32553.05,17320.31,622,0,Unemployed,2,1,1
42715.94,13408.79,656,1,Employed,0,0,0
34492.58,9069.12,617,0,Unemployed,2,3,1
28406.4,10580.76,590,2,Employed,0,1,0
56114.13,15552.43,586,0,Employed,0,5,1
67913.0,7040.88,685,2,Employed,0,1,0
28217.19,15171.52,649,4,Unemployed,2,3,1
51755.63,10536.93,594,4,Unemployed,2,0,0
37192.29,6841.12,618,0,Employed,0,2,0
39154.5,12829.02,721,3,Self-Employed,1,2,0
37891.27,9199.24,694,3,Unemployed,2,0,0
34632.11,9713.5,680,3,Employed,0,2,0
45582.26,9497.06,755,3,Employed,0,0,0
35028.6,12459.57,725,3,Employed,0,1,0
48245.48,10440.13,651,2,Employed,0,1,0
44397.14,13563.79,622,0,Self-Employed,1,3,0
42132.62,16049.68,779,0,Unemployed,2,4,1
34109.24,14166.75,710,0,Employed,0,1,0
38078.74,19221.23,622,3,Self-Employed,1,0,1
54064.69,20205.39,583,3,Employed,0,2,0
51011.01,10838.97,537,4,Unemployed,2,0,0
33269.34,7389.52,586,2,Unemployed,2,0,0
46191.99,10843.47,625,0,Employed,0,1,0
54016.65,12473.42,716,0,Unemployed,2,1,0
24967.14,20903.08,699,1,Employed,0,1,1
51520.32,10500.79,663,4,Unemployed,2,1,0
37048.51,13111.72,680,0,Employed,0,1,0
51847.18,9275.36,610,0,Self-Employed,1,1,0
35840.89,10613.3,584,3,Employed,0,2,0
23341.41,7142.46,638,1,Self-Employed,1,1,0
25469.49,6149.07,699,2,Self-Employed,1,0,0
45577.02,17443.72,652,1,Self-Employed,1,0,0
48116.67,16264.79,685,3,Employed,0,4,0
34148.2,10521.59,651,3,Unemployed,2,0,0
52663.11,16253.53,585,2,Unemployed,2,0,0
25061.76,6772.37,664,2,Employed,0,0,0
44207.04,11306.55,630,1,Unemployed,2,0,0
30467.81,12697.05,704,1,Self-Employed,1,1,0
37177.97,17064.22,570,3,Unemployed,2,0,1
45568.78,12790.16,726,4,Employed,0,1,0
34675.04,14179.0,588,3,Unemployed,2,1,0
40385.33,10120.16,635,4,Employed,0,0,0
57075.51,13055.83,575,3,Self-Employed,1,0,0
38077.3,17057.44,700,1,Self-Employed,1,3,1
55028.31,5533.96,594,1,Employed,0,1,0
31443.52,16544.3,622,1,Unemployed,2,2,1
